Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
16,-0.04019272,-0.2445798,0.035316844,0.28689668,0,1.0,3
16,-0.045084316,-0.44018716,0.041054778,0.5905057,0,1.0,4
16,-0.053888056,-0.63585913,0.052864894,0.89583313,0,1.0,5
16,-0.06660524,-0.83165646,0.07078156,1.2046539,0,1.0,6
16,-0.08323837,-1.0276183,0.094874635,1.518653,0,1.0,7
16,-0.10379074,-1.2237508,0.12524769,1.83938,0,1.0,8
16,-0.12826575,-1.4200138,0.16203529,2.168195,0,1.0,9
16,-0.15666603,-1.6163055,0.2053992,2.5062058,0,1.0,10
17,-0.015040426,0.2251361,0.00936502,-0.28068992,1,1.0,1
17,-0.0105377035,0.42012322,0.0037512213,-0.5704045,1,1.0,2
17,-0.0021352388,0.61519235,-0.0076568685,-0.8619033,1,1.0,3
17,0.010168608,0.8104177,-0.024894934,-1.1569839,1,1.0,4
17,0.026376963,1.0058552,-0.048034612,-1.4573675,1,1.0,5
17,0.046494067,0.8113544,-0.077181965,-1.1800697,0,1.0,6
17,0.062721156,1.0073888,-0.100783356,-1.4959148,1,1.0,7
17,0.08286893,0.81362635,-0.13070166,-1.2363261,0,1.0,8
17,0.099141456,0.62040335,-0.15542817,-0.9872807,0,1.0,9
17,0.11154953,0.81722635,-0.17517379,-1.3244684,1,1.0,10
17,0.12789406,1.0140737,-0.20166315,-1.6664587,1,1.0,11
18,-0.011391218,0.15650955,-0.04724057,-0.30301145,1,1.0,1
18,-0.008261027,-0.037908413,-0.0533008,-0.025593394,0,1.0,2
18,-0.009019195,-0.23222707,-0.053812668,0.24980764,0,1.0,3
18,-0.013663736,-0.4265409,-0.048816517,0.5250432,0,1.0,4
18,-0.022194555,-0.6209431,-0.038315654,0.8019528,0,1.0,5
18,-0.034613416,-0.8155193,-0.022276597,1.0823407,0,1.0,6
18,-0.050923802,-0.62011045,-0.000629783,0.7827515,1,1.0,7
18,-0.06332601,-0.81522375,0.015025247,1.0752362,0,1.0,8
18,-0.07963049,-0.6203036,0.03652997,0.78730613,1,1.0,9
18,-0.09203656,-0.8159077,0.052276094,1.0912541,0,1.0,10
18,-0.10835471,-0.6215123,0.07410117,0.8154214,1,1.0,11
18,-0.12078496,-0.8175664,0.09040961,1.1304615,0,1.0,12
18,-0.13713628,-0.62373704,0.11301883,0.86744905,1,1.0,13
18,-0.14961103,-0.82020044,0.13036782,1.1934209,0,1.0,14
18,-0.16601504,-1.0167472,0.15423623,1.523959,0,1.0,15
18,-0.18634999,-1.2133586,0.1847154,1.8605411,0,1.0,16
19,0.0019572459,-0.20129623,0.0012799116,0.25691935,0,1.0,1
19,-0.0020686786,-0.39643642,0.006418299,0.55000573,0,1.0,2
19,-0.009997407,-0.5916479,0.017418412,0.8447039,0,1.0,3
19,-0.021830367,-0.7870032,0.03431249,1.1428131,0,1.0,4
19,-0.03757043,-0.9825563,0.057168752,1.446056,0,1.0,5
19,-0.057221554,-1.178333,0.08608987,1.7560397,0,1.0,6
